iter	Passed	Remaining
399	28788	43183
400	28860	43110
401	28925	43029
402	29000	42960
403	29070	42886
404	29120	42781
405	29199	42720
406	29229	42586
407	29298	42512
408	29368	42436
409	29444	42370
410	29508	42288
411	29576	42211
412	29639	42126
413	29715	42060
414	29792	41995
415	29860	41919
416	29923	41835
417	29994	41762
418	30040	41655
419	30108	41578
420	30187	41516
421	30261	41448
422	30326	41367
423	30397	41294
424	30451	41199
425	30519	41123
426	30562	41012
427	30601	40897
428	30669	40821
429	30740	40749
430	30793	40653
431	30860	40575
432	30938	40513
433	31014	40448
434	31083	40373
435	31146	40290
436	31218	40219
437	31297	40157
438	31363	40079
439	31428	40000
440	31514	39946
441	31584	39874
442	31654	39799
443	31723	39725
444	31803	39665
445	31868	39585
446	31942	39516
447	32017	39450
448	32085	39373
449	32169	39317
450	32235	39240
451	32308	39170
452	32377	39096
453	32453	39030
454	32514	38946
455	32577	38864
456	32653	38798
457	32724	38726
458	32793	38651
459	32868	38584
460	32937	38511
461	33003	38432
462	33070	38356
463	33140	38282
464	33207	38206
465	33285	38142
466	33360	38075
467	33436	38008
468	33513	37944
469	33588	37876
470	33663	37809
471	33732	37735
472	33805	37664
473	33885	37602
474	33978	37555
475	34053	37487
476	34125	37416
477	34192	37339
478	34257	37261
479	34332	37193
480	34407	37125
481	34478	37053
482	34569	37003
483	34663	36954
484	34745	36895
485	34820	36826
486	34893	36756
487	34965	36684
488	35032	36608
489	35110	36543
490	35186	36476
491	35252	36398
492	35330	36333
493	35399	36259
494	35474	36191
495	35551	36124
496	35623	36053
497	35685	35972
498	35768	35912
499	35831	35831
500	35898	35755
501	35961	35675
502	36020	35590
503	36090	35517
504	36160	35444
505	36233	35374
506	36316	35313
507	36383	35237
508	36454	35165
509	36521	35089
510	36596	35021
511	36671	34952
512	36742	34880
513	36810	34805
514	36880	34732
515	36950	34658
516	37026	34591
517	37095	34517
518	37172	34451
519	37245	34380
520	37325	34316
521	37397	34245
522	37471	34176
523	37534	34095
524	37610	34028
525	37689	33963
526	37761	33892
527	37836	33823
528	37906	33750
529	37977	33677
530	38048	33605
531	38118	33533
532	38191	33462
533	38271	33397
534	38342	33325
535	38413	33253
536	38491	33186
537	38566	33118
538	38631	33041
539	38697	32964
540	38772	32895
541	38840	32821
542	38910	32747
543	38981	32675
544	39048	32599
545	39125	32532
546	39208	32470
547	39319	32431
548	39408	32373
549	39485	32306
550	39555	32233
551	39625	32159
552	39699	32090
553	39775	32021
554	39853	31954
555	39935	31890
556	40008	31820
557	40087	31753
558	40161	31683
559	40226	31606
560	40291	31529
561	40366	31459
562	40439	31389
563	40511	31317
564	40573	31237
565	40644	31165
566	40710	31089
567	40785	31020
568	40852	30944
569	40917	30867
570	40989	30796
571	41056	30720
572	41128	30649
573	41200	30577
574	41271	30505
575	41338	30429
576	41407	30355
577	41484	30288
578	41553	30214
579	41643	30155
580	41716	30084
581	41784	30010
582	41849	29933
583	41910	29854
584	41982	29782
585	42053	29709
586	42125	29638
587	42195	29565
588	42267	29493
589	42348	29428
590	42427	29361
591	42497	29289
592	42570	29218
593	42644	29147
594	42712	29072
595	42773	28993
596	42843	28921
597	42912	28847
598	42984	28776
599	43052	28701
600	43123	28629
601	43197	28559
602	43270	28487
603	43348	28420
604	43427	28353
605	43500	28282
606	43570	28209
607	43639	28135
608	43713	28065
609	43793	27999
610	43865	27927
611	43941	27858
612	44002	27780
613	44075	27708
614	44148	27637
615	44225	27568
616	44294	27495
617	44373	27428
618	44449	27358
619	44540	27298
620	44610	27225
621	44678	27151
622	44742	27075
623	44805	26997
624	44878	26927
625	44944	26851
626	45012	26778
627	45080	26703
628	45143	26626
629	45214	26554
630	45293	26487
631	45364	26415
632	45444	26347
633	45516	26276
634	45587	26203
635	45659	26132
636	45731	26060
637	45802	25988
638	45864	25910
639	45940	25841
640	46017	25772
641	46084	25698
642	46155	25625
643	46225	25553
644	46302	25484
645	46385	25418
646	46457	25346
647	46534	25277
648	46603	25204
649	46671	25130
650	46733	25053
651	46816	24988
652	46886	24915
653	46959	24844
654	47028	24770
655	47094	24695
656	47162	24621
657	47242	24554
658	47313	24482
659	47382	24409
660	47458	24339
661	47525	24265
662	47595	24192
663	47672	24123
664	47741	24050
665	47805	23974
666	47886	23907
667	47952	23832
668	48020	23758
669	48088	23685
670	48155	23611
671	48221	23536
672	48303	23470
673	48377	23399
674	48448	23326
675	48523	23256
676	48595	23185
677	48662	23111
678	48735	23039
679	48796	22962
680	48869	22891
681	48946	22822
682	49033	22757
683	49095	22681
684	49159	22606
685	49220	22529
686	49277	22450
687	49357	22382
688	49431	22312
689	49511	22244
690	49591	22176
691	49667	22106
692	49732	22031
693	49810	21962
694	49889	21893
695	49959	21821
696	50036	21752
697	50126	21687
698	50195	21614
699	50275	21546
700	50344	21473
701	50414	21400
702	50490	21330
703	50560	21258
704	50621	21182
705	50699	21112
706	50772	21041
707	50840	20968
708	50911	20895
709	50976	20821
710	51042	20747
711	51110	20673
712	51168	20596
713	51232	20521
714	51305	20450
715	51373	20377
716	51445	20305
717	51553	20247
718	51644	20183
719	51732	20118
720	51801	20045
721	51871	19972
722	51956	19906
723	52039	19838
724	52110	19766
725	52193	19698
726	52267	19627
727	52338	19554
728	52398	19478
729	52471	19407
730	52545	19336
731	52621	19265
732	52697	19195
733	52768	19123
734	52838	19050
735	52907	18977
736	52975	18904
737	53046	18832
738	53116	18759
739	53181	18685
740	53245	18610
741	53320	18540
742	53391	18467
743	53455	18393
744	53527	18321
745	53598	18249
746	53667	18176
747	53741	18105
748	53814	18033
749	53901	17967
750	53976	17896
751	54053	17826
752	54128	17755
753	54201	17683
754	54270	17610
755	54338	17537
756	54412	17466
757	54479	17393
758	54550	17321
759	54629	17251
760	54699	17178
761	54773	17107
762	54860	17040
763	54938	16970
764	55010	16898
765	55087	16828
766	55158	16756
767	55225	16682
768	55301	16611
769	55385	16543
770	55454	16470
771	55517	16396
772	55585	16323
773	55646	16248
774	55713	16174
775	55786	16103
776	55855	16030
777	55928	15958
778	55998	15886
779	56069	15814
780	56142	15742
781	56220	15672
782	56291	15600
783	56373	15531
784	56444	15459
785	56512	15386
786	56589	15315
787	56665	15244
788	56734	15172
789	56817	15103
790	56889	15031
791	56969	14961
792	57051	14892
793	57121	14819
794	57200	14749
795	57272	14677
796	57345	14606
797	57412	14532
798	57490	14462
799	57556	14389
800	57624	14316
801	57702	14245
802	57767	14172
803	57837	14099
804	57909	14027
805	57976	13954
806	58060	13885
807	58137	13814
808	58210	13743
809	58281	13670
810	58357	13600
811	58433	13528
812	58508	13457
813	58577	13385
814	58649	13312
815	58725	13241
816	58806	13171
817	58871	13098
818	58941	13026
819	59015	12954
820	59091	12883
821	59152	12809
822	59226	12737
823	59296	12665
824	59362	12591
825	59427	12518
826	59494	12445
827	59565	12373
828	59648	12303
829	59719	12231
830	59788	12159
831	59865	12088
832	59941	12017
833	60011	11944
834	60083	11872
835	60159	11801
836	60223	11728
837	60298	11656
838	60366	11584
839	60438	11512
840	60507	11439
841	60623	11375
842	60717	11308
843	60797	11237
844	60867	11165
845	60932	11091
846	61017	11022
847	61088	10949
848	61156	10877
849	61231	10805
850	61302	10733
851	61376	10661
852	61454	10590
853	61530	10519
854	61597	10446
855	61668	10374
856	61743	10302
857	61818	10231
858	61900	10160
859	61967	10087
860	62047	10017
861	62147	9949
862	62228	9878
863	62299	9806
864	62385	9736
865	62464	9665
866	62536	9593
867	62613	9521
868	62696	9451
869	62769	9379
870	62847	9308
871	62913	9234
872	62981	9162
873	63053	9090
874	63130	9018
875	63197	8945
876	63275	8874
877	63341	8801
878	63414	8729
879	63491	8657
880	63565	8586
881	63641	8514
882	63705	8441
883	63787	8370
884	63863	8298
885	63939	8226
886	64012	8154
887	64092	8083
888	64169	8012
889	64235	7939
890	64305	7866
891	64385	7795
892	64458	7723
893	64527	7650
894	64601	7578
895	64678	7507
896	64750	7435
897	64819	7362
898	64887	7289
899	64958	7217
900	65037	7146
901	65104	7073
902	65184	7002
903	65266	6930
904	65342	6859
905	65404	6785
906	65473	6713
907	65543	6640
908	65607	6567
909	65694	6497
910	65767	6425
911	65834	6352
912	65900	6279
913	65964	6206
914	66032	6134
915	66096	6061
916	66165	5988
917	66232	5916
918	66306	5844
919	66382	5772
920	66448	5699
921	66521	5627
922	66593	5555
923	66666	5483
924	66751	5412
925	66833	5340
926	66907	5268
927	66984	5197
928	67069	5125
929	67133	5053
930	67207	4980
931	67270	4908
932	67349	4836
933	67420	4764
934	67481	4691
935	67556	4619
936	67632	4547
937	67698	4474
938	67773	4402
939	67849	4330
940	67919	4258
941	67988	4186
942	68060	4113
943	68127	4041
944	68189	3968
945	68261	3896
946	68330	3824
947	68407	3752
948	68483	3680
949	68555	3608
950	68623	3535
951	68700	3463
952	68785	3392
953	68858	3320
954	68930	3248
955	68994	3175
956	69058	3102
957	69130	3030
958	69196	2958
959	69262	2885
960	69329	2813
961	69398	2741
962	69467	2669
963	69574	2598
964	69649	2526
965	69725	2454
966	69805	2382
967	69877	2309
968	69955	2237
969	70040	2166
970	70107	2093
971	70180	2021
972	70255	1949
973	70332	1877
974	70405	1805
975	70482	1733
976	70548	1660
977	70616	1588
978	70692	1516
979	70762	1444
980	70843	1372
981	70912	1299
982	70977	1227
983	71055	1155
984	71127	1083
985	71198	1010
986	71268	938
987	71337	866
988	71412	794
989	71485	722
990	71561	649
991	71633	577
992	71695	505
993	71766	433
994	71836	360
995	71908	288
996	71994	216
997	72063	144
998	72132	72
999	72203	0
