iter	RMSE
0	2.841206738
1	2.669366899
2	2.525263022
3	2.399019078
4	2.293003229
5	2.202916067
6	2.12607715
7	2.062257814
8	2.009310427
9	1.963540062
10	1.925658789
11	1.894207877
12	1.867424791
13	1.844659156
14	1.825947892
15	1.81000058
16	1.796337168
17	1.78574546
18	1.775901841
19	1.767652112
20	1.7604276
21	1.754346653
22	1.749004768
23	1.744354581
24	1.74073572
25	1.736644182
26	1.732986538
27	1.729981867
28	1.727269207
29	1.724876583
30	1.722450486
31	1.72019564
32	1.717939085
33	1.716401706
34	1.714710005
35	1.713358866
36	1.711262059
37	1.709740923
38	1.708383607
39	1.706944032
40	1.705550471
41	1.704217152
42	1.703235836
43	1.70231509
44	1.701394007
45	1.700196674
46	1.69929951
47	1.698262014
48	1.697375861
49	1.696824936
50	1.696177514
51	1.69523819
52	1.694446395
53	1.693059159
54	1.692197351
55	1.691344237
56	1.690679188
57	1.689793179
58	1.68868893
59	1.688181485
60	1.68771063
61	1.686797832
62	1.686105716
63	1.684947745
64	1.684255942
65	1.683385216
66	1.682594129
67	1.681481294
68	1.680626881
69	1.679959652
70	1.678848704
71	1.677507515
72	1.677173711
73	1.676766683
74	1.676115678
75	1.675671316
76	1.675089598
77	1.674508736
78	1.673836236
79	1.672854215
80	1.672205379
81	1.671437083
82	1.671017875
83	1.670075516
84	1.669672684
85	1.669292431
86	1.668420683
87	1.668310858
88	1.667470627
89	1.666587904
90	1.666037585
91	1.665328873
92	1.66483663
93	1.664269299
94	1.663616708
95	1.663144829
96	1.662332659
97	1.662034189
98	1.661232355
99	1.660828399
100	1.660484624
101	1.659942425
102	1.659409948
103	1.658778118
104	1.658282534
105	1.65763167
106	1.657359621
107	1.656926408
108	1.656628537
109	1.656342898
110	1.65594472
111	1.655118314
112	1.654597369
113	1.654237898
114	1.654032273
115	1.653877821
116	1.653463836
117	1.653129793
118	1.652692396
119	1.65247492
120	1.652140955
121	1.65123695
122	1.650814944
123	1.650353546
124	1.649936712
125	1.648971545
126	1.648528948
127	1.647860423
128	1.64740239
129	1.647072514
130	1.646913504
131	1.64648897
132	1.645873303
133	1.64531157
134	1.644887624
135	1.644452222
136	1.643611924
137	1.643332774
138	1.642700121
139	1.642085491
140	1.641658471
141	1.641067385
142	1.640599016
143	1.640422513
144	1.640175876
145	1.639635918
146	1.63913237
147	1.638535809
148	1.638095222
149	1.638044847
150	1.63766739
151	1.637407799
152	1.637370044
153	1.636895992
154	1.636486573
155	1.636006598
156	1.635552731
157	1.635281181
158	1.634792485
159	1.634466442
160	1.633909109
161	1.633505082
162	1.633164704
163	1.632776255
164	1.63254462
165	1.63238314
166	1.632044645
167	1.631644089
168	1.631456212
169	1.631265639
170	1.630669709
171	1.630066638
172	1.629742811
173	1.629410345
174	1.628983532
175	1.62867372
176	1.628275428
177	1.627956805
178	1.627633378
179	1.627198331
180	1.62664998
181	1.62612333
182	1.625598719
183	1.625181098
